,Source,Target
62,UCBzHLiBZWSn7AmaW0AOAlWg,UCUixxJtFsEYTxW8OKUa31bQ
63,UCBzHLiBZWSn7AmaW0AOAlWg,UCmpuIDDF9WL_w-MXYyZRzFg
64,UCBzHLiBZWSn7AmaW0AOAlWg,UCKbTV8qU3B6X5U4S60C6rAA
65,UCBzHLiBZWSn7AmaW0AOAlWg,UCuT2XDqpaYhb3KJOoF3PpoA
66,UCBzHLiBZWSn7AmaW0AOAlWg,UCANr15MC0s7bi4cxtDd1Gtg
67,UCBzHLiBZWSn7AmaW0AOAlWg,UCTNUzGFfCdUldW6SL_3fAVA
68,UCBzHLiBZWSn7AmaW0AOAlWg,UCzVg3s-fU0Xiz0FZIeyOHRg
69,UCBzHLiBZWSn7AmaW0AOAlWg,UCvtRJQXVQPMBFLqhUR5J-7A
70,UCBzHLiBZWSn7AmaW0AOAlWg,UCS17iKEInkBuHkxtEcCnTTQ
71,UCBzHLiBZWSn7AmaW0AOAlWg,UCgaT9jOfwwqdojW1MssCg6A
72,UCBzHLiBZWSn7AmaW0AOAlWg,UCsp1sGkVSXm3UiB3HedXHjA
73,UCBzHLiBZWSn7AmaW0AOAlWg,UCdP8IaqW90fxLzq54TLmxCw
74,UCBzHLiBZWSn7AmaW0AOAlWg,UC8pHU6EkDHfZptKbMMyVAdQ
75,UCBzHLiBZWSn7AmaW0AOAlWg,UCSmpdDE7EAsCwe1PLQeOsNA
76,UCBzHLiBZWSn7AmaW0AOAlWg,UCutJqz56653xV2wwSvut_hQ
77,UCBzHLiBZWSn7AmaW0AOAlWg,UCXcJ9deAL8R_b4DxITlRZXA
78,UCBzHLiBZWSn7AmaW0AOAlWg,UCL6JY2DXJNDOIqCP1CRADng
79,UCBzHLiBZWSn7AmaW0AOAlWg,UCmRKBRRkEY9dMrKT0aHSBlg
80,UCBzHLiBZWSn7AmaW0AOAlWg,UCuJkgxwEDMB_MZjH-itA4qQ
81,UCBzHLiBZWSn7AmaW0AOAlWg,UCfFaN4DuN-TxdeEk80CaCOw
82,UCBzHLiBZWSn7AmaW0AOAlWg,UC9zY_E8mcAo_Oq772LEZq8Q
83,UCBzHLiBZWSn7AmaW0AOAlWg,UChZGBy6daXgBo6zJhOnrJtw
84,UCBzHLiBZWSn7AmaW0AOAlWg,UCp8vkHNnTUH7o2v2WsHPVCA
85,UCBzHLiBZWSn7AmaW0AOAlWg,UCzZT_CQBlwHCb125VvDN-hw
86,UCBzHLiBZWSn7AmaW0AOAlWg,UCHMA_WFUGoc2c9U3-sbBKBw
87,UCBzHLiBZWSn7AmaW0AOAlWg,UCOx-oLP9tOhiYwSK_m-yVxA
88,UCBzHLiBZWSn7AmaW0AOAlWg,UCMlwQuZJJQppHO6-FkGgiqQ
89,UCBzHLiBZWSn7AmaW0AOAlWg,UCMA9sJRd-wbTSgdpVGlJgrw
90,UCBzHLiBZWSn7AmaW0AOAlWg,UC2p9pSIMYa-asF6C38039gQ
91,UCBzHLiBZWSn7AmaW0AOAlWg,UChiZabFUXEDVSz_5NdWVhDQ
92,UCBzHLiBZWSn7AmaW0AOAlWg,UCwtmy0aIOeb1N0hxZ1a6RWA
93,UCBzHLiBZWSn7AmaW0AOAlWg,UCCKVVZ8SvuAYi5LXwXHe7BA
94,UCBzHLiBZWSn7AmaW0AOAlWg,UCIR2mQ77wHrLMreV45nYhgw
95,UCBzHLiBZWSn7AmaW0AOAlWg,UC24yfMhHL7ryQhbc_Zw_qng
96,UCBzHLiBZWSn7AmaW0AOAlWg,UC9poG8aQWgYvJykq9PXsvoA
97,UCBzHLiBZWSn7AmaW0AOAlWg,UCgMPP6RRjktV7krOfyUewqw
98,UCBzHLiBZWSn7AmaW0AOAlWg,UC38hCsF3st1pBJBw8JnAu2g
99,UCBzHLiBZWSn7AmaW0AOAlWg,UCtmXnwe5EYXUc52pq-S2RAg
100,UCBzHLiBZWSn7AmaW0AOAlWg,UC-km1012mEUQQLGxggmrazw
101,UCBzHLiBZWSn7AmaW0AOAlWg,UCOUyin_Pv_8wYUZMhWAeN3w
102,UCBzHLiBZWSn7AmaW0AOAlWg,UCdlxcNp-rmCrIfZwORXr0Og
103,UCBzHLiBZWSn7AmaW0AOAlWg,UCmMFrO9hjeAg9RLuTSF4A2A
104,UCBzHLiBZWSn7AmaW0AOAlWg,UCpbqG3t3wH0FSk2yFzsj1wQ
105,UCBzHLiBZWSn7AmaW0AOAlWg,UCnMomb_sGrZgBtFNvG7Zgnw
106,UCBzHLiBZWSn7AmaW0AOAlWg,UCrXUsMBcfTVqwAS7DKg9C0Q
107,UCBzHLiBZWSn7AmaW0AOAlWg,UC-9MTRn-MfAMGnocgvvPMyg
108,UCBzHLiBZWSn7AmaW0AOAlWg,UCF1YAcN4obHtew-GCtGAgYA
109,UCBzHLiBZWSn7AmaW0AOAlWg,UC1MbuDMNEr_dE_JPGxbubBg
110,UCBzHLiBZWSn7AmaW0AOAlWg,UC-9-kyTW8ZkZNDHQJ6FgpwQ
111,UCBzHLiBZWSn7AmaW0AOAlWg,UCw2lRr9C-KTpoNlYK-oH93g
112,UCBzHLiBZWSn7AmaW0AOAlWg,UC5qCRhWOAWKtVVuw4rXSFlg
113,UCBzHLiBZWSn7AmaW0AOAlWg,UCLPelMHFSPTVzeZudKsIxzQ
114,UCBzHLiBZWSn7AmaW0AOAlWg,UCJil534CSR8m5BeQVPkTx4Q
115,UCBzHLiBZWSn7AmaW0AOAlWg,UCUedA5v5KB8qtvONhmv9vpw
116,UCBzHLiBZWSn7AmaW0AOAlWg,UCskeSREYbPm1ftGqQpyVIXg
117,UCBzHLiBZWSn7AmaW0AOAlWg,UCf-dZEtwvHLriaV_NZ6VE2g
118,UCBzHLiBZWSn7AmaW0AOAlWg,UCMOjl6Vmocn9cXXhkLZoskg
119,UCBzHLiBZWSn7AmaW0AOAlWg,UC22J8VvOYkPPiOJwQkC4xAQ
120,UCBzHLiBZWSn7AmaW0AOAlWg,UC2MFPE4wrxvwxr4I3XRxiHQ
121,UCBzHLiBZWSn7AmaW0AOAlWg,UC41-Om_oyruC2E7-ff7GkrA
122,UCBzHLiBZWSn7AmaW0AOAlWg,UCbDyp2LR_MPo4HJdRWJpv6A
123,UCBzHLiBZWSn7AmaW0AOAlWg,UC2GuoutVyegg6PUK88lLpjw
124,UCBzHLiBZWSn7AmaW0AOAlWg,UC3p5OTQsMEnmZktWUkw_Y0A
125,UCBzHLiBZWSn7AmaW0AOAlWg,UCAbCHGO-G_Kzl1MHPun7vGw
126,UCBzHLiBZWSn7AmaW0AOAlWg,UCq1FEiGmyh-52yYGeOMTVLA
127,UCBzHLiBZWSn7AmaW0AOAlWg,UCXfWxPbe6SoT_thmfOxojsA
128,UCBzHLiBZWSn7AmaW0AOAlWg,UClQrpW_KiCJWXHolBxrKDpw
129,UCBzHLiBZWSn7AmaW0AOAlWg,UClMyNfAcko34iqf2jsptgxA
130,UCBzHLiBZWSn7AmaW0AOAlWg,UCVPz_nauEJpqPxxvYiOpCHQ
131,UCBzHLiBZWSn7AmaW0AOAlWg,UC9Mg-Z14SIkGEFAr-FU98CQ
132,UCBzHLiBZWSn7AmaW0AOAlWg,UCVJ9IclDvDuZ5AFM4JMpCfA
133,UCBzHLiBZWSn7AmaW0AOAlWg,UCk8HTeS7wRRam6nEKZkH1eA
134,UCBzHLiBZWSn7AmaW0AOAlWg,UC3QGwTAl02IeQftn5C2bKkg
135,UCBzHLiBZWSn7AmaW0AOAlWg,UCzL4eefVp2C8ihBkCKifJOg
